CollectedAt,IsHoliday,ParkId,TotalSpaces,AvailableSpaces,FullStatus,ParkDataCollectTime,RainNow,RainPast10Min,RainPast1hr,RainPast3hr,RainPast12hr,RainPast24hr
2026-05-29T18:00:34,0,068,222,30,0,2026-05-26T16:32:50+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,069,276,-22,2,2026-05-26T16:34:01+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,070,242,21,0,2026-05-26T16:35:02+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,071,244,4,0,2026-05-26T16:34:53+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,072,229,50,0,2026-05-26T16:34:56+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,073,850,20,0,2026-05-26T16:34:27+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,074,69,16,0,2026-05-26T16:34:34+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,075,347,39,0,2026-05-26T16:34:33+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,078,382,151,0,2026-04-09T17:18:20+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,079,422,43,0,2026-05-26T16:34:32+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,080,730,25,0,2026-05-26T16:34:08+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,081,153,0,2,2026-05-26T16:34:35+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,082,224,15,0,2026-05-26T16:34:54+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,084,229,36,0,2026-05-26T16:34:13+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,085,411,0,2,2026-05-26T16:34:41+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,086,210,40,0,2026-05-26T16:34:37+08:00,16.5,0.0,0.0,0.0,15.0,16.5
2026-05-29T18:00:34,0,087,334,12,0,2026-05-26T16:34:59+08:00,16.5,0.0,0.0,0.0,15.0,16.5
